,train_loss,val_loss,val_accuracy
0,2.0374070421668384,2.6062224197583883,14.95
1,1.4276762731862516,1.6734643178759299,67.12
2,1.029874740434581,1.155371269546169,79.73
3,0.8052353819752457,0.8497220401848137,83.97
4,0.6771536837021579,0.6822786847747595,85.7
5,0.5981979989546848,0.5835358133755787,86.99
6,0.5451804989575402,0.5211142182888565,87.76
7,0.507368158386774,0.47864483441970695,88.17
8,0.47894077648880595,0.44711316365441983,88.66
9,0.4569193438340757,0.42393572188899536,89.0
10,0.4392090866074529,0.4057891466504397,89.32
11,0.4246506019827999,0.3909669875776331,89.54
12,0.4125364485978203,0.37925786736279893,89.94
13,0.4022393510635274,0.3693754000628484,89.94
14,0.39328805658899485,0.36028508721678115,90.27
15,0.385426897044995,0.35304455382541644,90.5
16,0.37851949448501576,0.34649042339920727,90.66
17,0.37232522352960185,0.34111501062559757,90.6
18,0.36680332245872027,0.33624396626691305,90.59
19,0.36183240419610374,0.33149907376649324,90.77
20,0.35719984809204225,0.3274318626920898,90.81
21,0.3529979693072699,0.32374636239818116,90.92
22,0.3490927266697477,0.3204193571325949,90.98
23,0.34551548903165286,0.3173529147598362,91.15
24,0.34219158638369945,0.3145205458427326,91.15
25,0.338997165053344,0.31158078487922064,91.27
26,0.33608849299997723,0.3091734544580781,91.25
27,0.33325124966490466,0.30689445929501535,91.37
28,0.3306092006520069,0.3049094871133268,91.36
29,0.3281607219092962,0.3027095426986283,91.47
30,0.3257844016759276,0.3004811223201245,91.49
31,0.32346787699114504,0.2985268386819958,91.53
32,0.32128339105963377,0.2968789824483092,91.66
33,0.3192982024236226,0.2950195091636195,91.69
34,0.3172334148184874,0.29351737404992034,91.72
35,0.31537525474961847,0.29172892781013493,91.75
36,0.31348898745831094,0.29038887824497395,91.79
37,0.3117523282155544,0.28931255176331927,91.82
38,0.31002611571889854,0.2876576871233293,91.79
39,0.30840945350950044,0.2862365187199417,91.87
