,train_loss,val_loss,val_accuracy
0,0.8442110201832153,2.5992451047758927,10.15
1,0.3964873834008365,0.41884866634638357,88.97
2,0.339969816676613,0.3296310409559107,90.68
3,0.3133155327471342,0.29921672663013293,91.4
4,0.2956626016220002,0.28266553928720783,91.88
5,0.2816774650802609,0.2701414098916381,92.26
6,0.2695177321798083,0.25844861669042446,92.56
7,0.25915434650116537,0.2500286314904299,92.82
8,0.2498221923493953,0.24191822743753078,93.21
9,0.24119893997817468,0.2353627996664629,93.25
10,0.23349440559719387,0.22970867712133078,93.37
11,0.22598240080035648,0.2224581544688811,93.66
12,0.2193212857532869,0.2174246183938479,93.79
13,0.21296343649030292,0.21215066322873813,94.11
14,0.20686766137330856,0.20675527784187375,94.29
15,0.20114054782274415,0.20290415383134178,94.4
16,0.19587950593758416,0.19911431474112049,94.41
17,0.1910478077869391,0.1928529132012805,94.65
18,0.18646737101861424,0.1900801532316714,94.84
19,0.1821727303821067,0.18591615696866007,94.79
20,0.17821792656348537,0.18316156745955253,94.95
21,0.17402946641905784,0.1796826987846943,95.09
22,0.17066767292984092,0.17870953309682355,95.03
23,0.16734422180842143,0.17396147973917417,95.03
24,0.16413792540765448,0.17307271941085303,95.32
25,0.16079574946118183,0.16995356801191713,95.21
26,0.15814753807964346,0.16757881215965653,95.38
27,0.15530962214089641,0.16662450872053283,95.3
28,0.1526340471860016,0.1642034822402855,95.45
29,0.1499313756531919,0.16231757413088754,95.5
30,0.1474408866479405,0.15967876044283508,95.52
31,0.1453401542671291,0.1584107901233801,95.58
32,0.14310312789016708,0.1569571813832129,95.56
33,0.14093147488499522,0.15522006513613268,95.61
34,0.13862433485437056,0.15303178951689023,95.71
35,0.13676846186375685,0.15167171239760724,95.73
36,0.13518713107350555,0.1500803711874748,95.75
37,0.13313948602712994,0.15113134417153137,95.72
38,0.13143907811808223,0.14769094748560463,95.81
39,0.1295812325543606,0.14683898994537725,95.84
